"gene_symbol","gene_id","chromosome","gene_entrez_id","gene_name"
"Gm18496",500737831,"16",100417272,"predicted gene, 18496"
"Gm18497",500743969,"X",100417273,"predicted gene, 18497"
"Gm18498",500744837,"X",100417279,"predicted gene, 18498"
"Gm18499",500730131,"12",100417281,"predicted gene, 18499"
"Gm18500",500730243,"12",100417282,"predicted gene, 18500"
"Gm18501",500730370,"12",100417283,"predicted gene, 18501"
"Gm18502",500729387,"12",100417284,"predicted gene, 18502"
"Gm18503",500729582,"12",100417285,"predicted gene, 18503"
"Gm18504",500730254,"12",100417286,"predicted gene, 18504"
"Gm18505",500701485,"1",100417287,"predicted gene, 18505"
"Gm18506",500701094,"1",100417288,"predicted gene, 18506"
"Gm18507",500724407,"10",100417290,"predicted gene, 18507"
"Gm18508",500724413,"10",100417291,"predicted gene, 18508"
"Gm18509",500724863,"10",100417292,"predicted gene, 18509"
"Gm18510",500725943,"10",100417293,"predicted gene, 18510"
"Gm18511",500724297,"10",100417295,"predicted gene, 18511"
"Gm18512",500724649,"10",100417296,"predicted gene, 18512"
"Gm18513",500724672,"10",100417297,"predicted gene, 18513"
"Gm18514",500724828,"10",100417298,"predicted gene, 18514"
"Gm18515",500725586,"10",100417299,"predicted gene, 18515"
"Gm18516",500716306,"7",100417301,"predicted gene, 18516"
"Gm18517",500732522,"13",100417303,"predicted gene, 18517"
"Gm18518",500732588,"13",100417305,"predicted gene, 18518"
"Gm18519",500738601,"17",100417306,"predicted gene, 18519"
"Gm18520",500739416,"17",100417307,"predicted gene, 18520"
"Gm18521",500739823,"17",100417309,"predicted gene, 18521"
"Gm18522",500739422,"17",100417310,"predicted gene, 18522"
"Gm18523",500733654,"14",100417312,"predicted gene, 18523"
"Gm18524",500733789,"14",100417313,"predicted gene, 18524"
"Gm18525",500734859,"14",100417314,"predicted gene, 18525"
"Gm18526",500740322,"18",100417315,"predicted gene, 18526"
"Gm18527",500741004,"18",100417316,"predicted gene, 18527"
"Gm18528",500741250,"18",100417317,"predicted gene, 18528"
"Gm18529",500740724,"18",100417318,"predicted gene, 18529"
"Gm18530",500740826,"18",100417319,"predicted gene, 18530"
"Gm18531",500735587,"15",100417320,"predicted gene, 18531"
"Gm18532",500735341,"15",100417322,"predicted gene, 18532"
"Gm18533",500735349,"15",100417323,"predicted gene, 18533"
"Gm18534",500708954,"4",100417328,"predicted gene, 18534"
"Gm18535",500709519,"4",100417330,"predicted gene, 18535"
"Gm18537",500714596,"6",100417334,"predicted gene, 18537"
"Gm18538",500713920,"6",100417335,"predicted gene, 18538"
"Gm18539",500713923,"6",100417336,"predicted gene, 18539"
"Gm18540",500714159,"6",100417337,"predicted gene, 18540"
"Gm18541",500722953,"9",100417338,"predicted gene, 18541"
"Gm18542",500723646,"9",100417339,"predicted gene, 18542"
"Gm18543",500741958,"19",100417340,"predicted gene, 18543"
"Gm18544",500741758,"19",100417341,"predicted gene, 18544"
"Gm18545",500706678,"3",100417342,"predicted gene, 18545"
"Gm18546",500707770,"3",100417343,"predicted gene, 18546"
"Gm18547",500702508,"2",100417344,"predicted gene, 18547"
"Gm18548",500702823,"2",100417345,"predicted gene, 18548"
"Gm18549",500737846,"16",100417347,"predicted gene, 18549"
"Gm18550",500737847,"16",100417348,"predicted gene, 18550"
"Gm18551",500730795,"12",100417350,"predicted gene, 18551"
"Gm18552",500701081,"1",100417351,"predicted gene, 18552"
"Gm18553",500701428,"1",100417352,"predicted gene, 18553"
"Gm18555",500712181,"5",100417355,"predicted gene, 18555"
"Gm18556",500725329,"10",100417356,"predicted gene, 18556"
"Gm18557",500724219,"10",100417357,"predicted gene, 18557"
"Gm18558",500717148,"7",100417358,"predicted gene, 18558"
"Gm18559",500717605,"7",100417360,"predicted gene, 18559"
"Gm18560",500718091,"7",100417361,"predicted gene, 18560"
"Gm18561",500719070,"7",100417362,"predicted gene, 18561"
"Gm18562",500731114,"13",100417363,"predicted gene, 18562"
"Gm18563",500732493,"13",100417364,"predicted gene, 18563"
"Gm18564",500738462,"17",100417365,"predicted gene, 18564"
"Gm18565",500733061,"14",100417366,"predicted gene, 18565"
"Gm18567",500733077,"14",100417368,"predicted gene, 18567"
"Gm18568",500733084,"14",100417369,"predicted gene, 18568"
"Gm18569",500733068,"14",100417370,"predicted gene, 18569"
"Gm18571",500733079,"14",100417372,"predicted gene, 18571"
"Gm18572",500733070,"14",100417373,"predicted gene, 18572"
"Gm18573",500733158,"14",100417374,"predicted gene, 18573"
"Gm18574",500733166,"14",100417375,"predicted gene, 18574"
"Gm18575",500733190,"14",100417376,"predicted gene, 18575"
"Gm18576",500733245,"14",100417377,"predicted gene, 18576"
"Gm18577",500733318,"14",100417378,"predicted gene, 18577"
"Gm18578",500733451,"14",100417379,"predicted gene, 18578"
"Gm18579",500733967,"14",100417380,"predicted gene, 18579"
"Gm18580",500735051,"14",100417381,"predicted gene, 18580"
"Gm18581",500740305,"18",100417382,"predicted gene, 18581"
"Gm18582",500735362,"15",100417383,"predicted gene, 18582"
"Gm18583",500726805,"11",100417385,"predicted gene, 18583"
"Gm18584",500713846,"6",100417389,"predicted gene, 18584"
"Gm18585",500722146,"9",100417390,"predicted gene, 18585"
"Gm18586",500722437,"9",100417391,"predicted gene, 18586"
"Gm18587",500723060,"9",100417393,"predicted gene, 18587"
"Gm18588",500706590,"3",100417394,"predicted gene, 18588"
"Gm18589",500708050,"3",100417396,"predicted gene, 18589"
"Gm1859",500740965,"18",271521,"predicted gene 1859"
"Gm18590",500705353,"2",100417400,"predicted gene, 18590"
"Gm18591",500729499,"12",100417403,"predicted gene, 18591"
"Gm18592",500730035,"12",100417405,"predicted gene, 18592"
"Gm18593",500711620,"5",100417406,"predicted gene, 18593"
"Gm18594",500712164,"5",100417407,"predicted gene, 18594"
"Gm18595",500712168,"5",100417408,"predicted gene, 18595"
"Gm18596",500725078,"10",100417409,"predicted gene, 18596"
"Gm18597",500716166,"7",100417411,"predicted gene, 18597"
"Gm18598",500716627,"7",100417412,"predicted gene, 18598"
"Gm18599",500718834,"7",100417415,"predicted gene, 18599"
"Gm18600",500719209,"7",100417417,"predicted gene, 18600"
"Gm18601",500732762,"13",100417419,"predicted gene, 18601"
"Gm18602",500720940,"8",100417420,"predicted gene, 18602"
"Gm18603",500721005,"8",100417421,"predicted gene, 18603"
"Gm18604",500739313,"17",100417423,"predicted gene, 18604"
"Gm18605",500734848,"14",100417424,"predicted gene, 18605"
"Gm18606",500740902,"18",100417425,"predicted gene, 18606"
"Gm18607",500708403,"4",100417427,"predicted gene, 18607"
"Gm18608",500715241,"6",100417430,"predicted gene, 18608"
"Gm18609",500715384,"6",100417431,"predicted gene, 18609"
"Gm18610",500742068,"19",100417435,"predicted gene, 18610"
"Gm18611",500706151,"3",100417436,"predicted gene, 18611"
"Gm18612",500704403,"2",100417441,"predicted gene, 18612"
"Gm18613",500743376,"X",100417443,"predicted gene, 18613"
"Gm18614",500744573,"X",100417450,"predicted gene, 18614"
"Gm18615",500730158,"12",100417452,"predicted gene, 18615"
"Gm18616",500730177,"12",100417453,"predicted gene, 18616"
"Gm18617",500730186,"12",100417455,"predicted gene, 18617"
"Gm18618",500730200,"12",100417456,"predicted gene, 18618"
"Gm18619",500730205,"12",100417457,"predicted gene, 18619"
"Gm1862",500743543,"X",100040260,"100040260"
"Gm18620",500730210,"12",100417458,"predicted gene, 18620"
"Gm18621",500730238,"12",100417459,"predicted gene, 18621"
"Gm18622",500729431,"12",100417460,"predicted gene, 18622"
"Gm18623",500729558,"12",100417461,"predicted gene, 18623"
"Gm18624",500730153,"12",100417462,"predicted gene, 18624"
"Gm18625",500730155,"12",100417463,"predicted gene, 18625"
"Gm18626",500730157,"12",100417464,"predicted gene, 18626"
"Gm18627",500730173,"12",100417465,"predicted gene, 18627"
"Gm18628",500730176,"12",100417466,"predicted gene, 18628"
"Gm18629",500730184,"12",100417467,"predicted gene, 18629"
"Gm18630",500730196,"12",100417468,"predicted gene, 18630"
"Gm18631",500730198,"12",100417469,"predicted gene, 18631"
"Gm18632",500730208,"12",100417470,"predicted gene, 18632"
"Gm18633",500700446,"1",100417475,"predicted gene, 18633"
"Gm18634",500711682,"5",100417477,"predicted gene, 18634"
"Gm18635",500711718,"5",100417478,"predicted gene, 18635"
"Gm18636",500724915,"10",100417479,"predicted gene, 18636"
"Gm18637",500724299,"10",100417480,"predicted gene, 18637"
"Gm18638",500716108,"7",100417481,"predicted gene, 18638"
"Gm18639",500716133,"7",100417482,"predicted gene, 18639"
"Gm18640",500716140,"7",100417483,"predicted gene, 18640"
"Gm18641",500716145,"7",100417484,"predicted gene, 18641"
"Gm18642",500717670,"7",100417488,"predicted gene, 18642"
"Gm18643",500731617,"13",100417491,"predicted gene, 18643"
"Gm18644",500720198,"8",100417492,"predicted gene, 18644"
"Gm18645",500720439,"8",100417494,"predicted gene, 18645"
"Gm18646",500720679,"8",100417495,"predicted gene, 18646"
"Gm18648",500739716,"17",100417498,"predicted gene, 18648"
"Gm18649",500740025,"17",100417499,"predicted gene, 18649"
"Gm18650",500740070,"17",100417500,"predicted gene, 18650"
"Gm18651",500740555,"18",100417501,"predicted gene, 18651"
"Gm18652",500740886,"18",100417502,"predicted gene, 18652"
"Gm18653",500741130,"18",100417503,"predicted gene, 18653"
"Gm18654",500708991,"4",100417504,"predicted gene, 18654"
"Gm18655",500723561,"9",100417507,"predicted gene, 18655"
"Gm18656",500722148,"9",100417508,"predicted gene, 18656"
"Gm18657",500742587,"19",100417509,"predicted gene, 18657"
"Gm18658",500705881,"3",100417510,"predicted gene, 18658"
"Gm18659",500705958,"3",100417511,"predicted gene, 18659"
"Gm1866",500744403,"X",331507,"predicted gene 1866"
"Gm18660",500706413,"3",100417512,"predicted gene, 18660"
"Gm18661",500705956,"3",100417513,"predicted gene, 18661"
"Gm18662",500705750,"2",100417516,"predicted gene, 18662"
"Gm18663",500737841,"16",100417518,"predicted gene, 18663"
"Gm18664",500744111,"X",100417520,"predicted gene, 18664"
"Gm18665",500745073,"Y",100417526,"predicted gene, 18665"
"Gm18666",500700960,"1",100417527,"predicted gene, 18666"
"Gm18667",500701417,"1",100417528,"predicted gene, 18667"
"Gm18668",500710855,"5",100417529,"predicted gene, 18668"
"Gm18669",500724613,"10",100417531,"predicted gene, 18669"
"Gm18670",500725483,"10",100417532,"predicted gene, 18670"
"Gm18671",500724540,"10",100417534,"predicted gene, 18671"
"Gm18672",500716844,"7",100417535,"predicted gene, 18672"
"Gm18673",500717904,"7",100417538,"predicted gene, 18673"
"Gm18674",500717928,"7",100417539,"predicted gene, 18674"
"Gm18675",500719946,"8",100417541,"predicted gene, 18675"
"Gm18676",500720065,"8",100417542,"predicted gene, 18676"
"Gm18677",500720856,"8",100417543,"predicted gene, 18677"
"Gm18678",500720959,"8",100417544,"predicted gene, 18678"
"Gm18679",500739625,"17",100417545,"predicted gene, 18679"
"Gm18680",500739692,"17",100417546,"predicted gene, 18680"
"Gm18681",500733506,"14",100417548,"predicted gene, 18681"
"Gm18682",500734654,"14",100417549,"predicted gene, 18682"
"Gm18683",500734740,"14",100417550,"predicted gene, 18683"
"Gm18684",500735385,"15",100417552,"predicted gene, 18684"
"Gm18685",500736464,"15",100417553,"predicted gene, 18685"
"Gm18686",500727721,"11",100417554,"predicted gene, 18686"
"Gm18687",500709041,"4",100417557,"predicted gene, 18687"
"Gm18688",500715486,"6",100417560,"predicted gene, 18688"
"Gm18689",500715529,"6",100417561,"predicted gene, 18689"
"Gm18690",500715530,"6",100417562,"predicted gene, 18690"
"Gm18691",500715534,"6",100417563,"predicted gene, 18691"
"Gm18692",500705939,"3",100417569,"predicted gene, 18692"
"Gm18693",500703613,"2",100417572,"predicted gene, 18693"
"Gm18694",500737650,"16",100417576,"predicted gene, 18694"
"Gm18695",500743461,"X",100417577,"predicted gene, 18695"
"Gm18696",500729091,"12",100417582,"predicted gene, 18696"
"Gm18697",500700930,"1",100417583,"predicted gene, 18697"
"Gm18698",500702222,"1",100417584,"predicted gene, 18698"
"Gm18699",500700842,"1",100417586,"predicted gene, 18699"
"Gm18700",500701010,"1",100417587,"predicted gene, 18700"
"Gm18701",500701491,"1",100417588,"predicted gene, 18701"
"Gm18702",500712015,"5",100417590,"predicted gene, 18702"
"Gm18703",500724093,"10",100417591,"predicted gene, 18703"
"Gm18704",500724452,"10",100417592,"predicted gene, 18704"
"Gm18705",500725489,"10",100417593,"predicted gene, 18705"
"Gm18706",500717519,"7",100417597,"predicted gene, 18706"
"Gm18707",500719199,"7",100417600,"predicted gene, 18707"
"Gm18708",500731544,"13",100417602,"predicted gene, 18708"
"Gm18709",500721518,"8",100417604,"predicted gene, 18709"
"Gm18710",500738539,"17",100417605,"predicted gene, 18710"
"Gm18711",500734104,"14",100417606,"predicted gene, 18711"
"Gm18712",500735083,"14",100417607,"predicted gene, 18712"
"Gm18713",500740365,"18",100417608,"predicted gene, 18713"
"Gm18714",500735332,"15",100417610,"predicted gene, 18714"
"Gm18715",500735224,"15",100417611,"predicted gene, 18715"
"Gm18716",500714180,"6",100417616,"predicted gene, 18716"
"Gm18717",500706575,"3",100417618,"predicted gene, 18717"
"Gm18719",500706643,"3",100417620,"predicted gene, 18719"
"Gm18720",500704606,"2",100417622,"predicted gene, 18720"
"Gm18721",500702414,"2",100417623,"predicted gene, 18721"
"Gm18722",500736924,"16",100417624,"predicted gene, 18722"
"Gm18723",500737710,"16",100417625,"predicted gene, 18723"
"Gm18724",500736958,"16",100417626,"predicted gene, 18724"
"Gm18726",500729423,"12",100417636,"predicted gene, 18726"
"Gm18727",500701580,"1",100417637,"predicted gene, 18727"
"Gm18728",500701018,"1",100417638,"predicted gene, 18728"
"Gm18729",500724483,"10",100417639,"predicted gene, 18729"
"Gm18730",500725905,"10",100417640,"predicted gene, 18730"
"Gm18731",500716255,"7",100417641,"predicted gene, 18731"
"Gm18732",500716249,"7",100417642,"predicted gene, 18732"
"Gm18733",500739235,"17",100417644,"predicted gene, 18733"
"Gm18734",500739236,"17",100417645,"predicted gene, 18734"
"Gm18735",500739658,"17",100417646,"predicted gene, 18735"
"Gm18736",500739862,"17",100417647,"predicted gene, 18736"
"Gm18737",500739415,"17",100417648,"predicted gene, 18737"
"Gm18738",500739940,"17",100417649,"predicted gene, 18738"
"Gm18739",500741024,"18",100417650,"predicted gene, 18739"
"Gm18740",500741036,"18",100417651,"predicted gene, 18740"
"Gm18741",500735352,"15",100417652,"predicted gene, 18741"
"Gm18742",500735630,"15",100417653,"predicted gene, 18742"
"Gm18743",500726595,"11",100417655,"predicted gene, 18743"
"Gm18744",500708986,"4",100417656,"predicted gene, 18744"
"Gm18745",500723069,"9",100417660,"predicted gene, 18745"
"Gm18747",500737150,"16",100417663,"predicted gene, 18747"
"Gm18748",500737160,"16",100417664,"predicted gene, 18748"
"Gm18749",500730253,"12",100417668,"predicted gene, 18749"
"Gm18750",500700016,"1",100417669,"predicted gene, 18750"
"Gm18751",500701490,"1",100417670,"predicted gene, 18751"
"Gm18752",500701957,"1",100417671,"predicted gene, 18752"
"Gm18753",500713209,"5",100417672,"predicted gene, 18753"
"Gm18754",500726185,"10",100417673,"predicted gene, 18754"
"Gm18755",500726187,"10",100417674,"predicted gene, 18755"
"Gm18757",500715925,"7",100417676,"predicted gene, 18757"
"Gm18758",500715952,"7",100417677,"predicted gene, 18758"
"Gm18759",500732988,"13",100417678,"predicted gene, 18759"
"Gm18760",500733501,"14",100417680,"predicted gene, 18760"
"Gm18761",500733826,"14",100417681,"predicted gene, 18761"
"Gm18762",500733911,"14",100417682,"predicted gene, 18762"
"Gm18763",500740310,"18",100417683,"predicted gene, 18763"
"Gm18764",500740356,"18",100417684,"predicted gene, 18764"
"Gm18765",500713961,"6",100417688,"predicted gene, 18765"
"Gm18766",500723307,"9",100417695,"predicted gene, 18766"
"Gm18767",500705154,"2",100417697,"predicted gene, 18767"
"Gm18768",500704135,"2",100417698,"predicted gene, 18768"
"Gm18769",500737215,"16",100417699,"predicted gene, 18769"
"Gm18770",500737216,"16",100417701,"predicted gene, 18770"
"Gm18771",500737219,"16",100417702,"predicted gene, 18771"
"Gm18772",500737793,"16",100417703,"predicted gene, 18772"
"Gm18773",500744818,"X",100417704,"predicted gene, 18773"
"Gm18774",500728999,"12",100417709,"predicted gene, 18774"
"Gm18775",500699832,"1",100417711,"predicted gene, 18775"
"Gm18776",500699919,"1",100417712,"predicted gene, 18776"
"Gm18777",500724865,"10",100417714,"predicted gene, 18777"
"Gm18778",500716259,"7",100417715,"predicted gene, 18778"
"Gm18779",500718117,"7",100417717,"predicted gene, 18779"
"Gm18780",500718819,"7",100417718,"predicted gene, 18780"
"Gm18781",500716104,"7",100417719,"predicted gene, 18781"
"Gm18782",500718004,"7",100417720,"predicted gene, 18782"
"Gm18783",500730991,"13",100417721,"predicted gene, 18783"
"Gm18784",500739443,"17",100417723,"predicted gene, 18784"
"Gm18785",500733661,"14",100417724,"predicted gene, 18785"
"Gm18786",500741305,"18",100417725,"predicted gene, 18786"
"Gm18787",500735684,"15",100417726,"predicted gene, 18787"
"Gm18788",500735760,"15",100417727,"predicted gene, 18788"
"Gm18789",500721887,"9",100417728,"predicted gene, 18789"
"Gm18790",500723506,"9",100417729,"predicted gene, 18790"
"Gm18791",500703162,"2",100417731,"predicted gene, 18791"
"Gm18792",500736911,"16",100417733,"predicted gene, 18792"
"Gm18793",500737086,"16",100417734,"predicted gene, 18793"
"Gm18794",500744006,"X",100417736,"predicted gene, 18794"
"Gm18795",500730326,"12",100417738,"predicted gene, 18795"
"Gm18796",500745083,"Y",100417739,"predicted gene, 18796"
"Gm18797",500745079,"Y",100417741,"predicted gene, 18797"
"Gm18798",500745091,"Y",100417743,"predicted gene, 18798"
"Gm18799",500699962,"1",100417744,"predicted gene, 18799"
"Gm18800",500700259,"1",100417745,"predicted gene, 18800"
"Gm18801",500701037,"1",100417746,"predicted gene, 18801"
"Gm18802",500700329,"1",100417747,"predicted gene, 18802"
"Gm18803",500726118,"10",100417748,"predicted gene, 18803"
"Gm18804",500717767,"7",100417749,"predicted gene, 18804"
"Gm18805",500717901,"7",100417750,"predicted gene, 18805"
"Gm18806",500718026,"7",100417751,"predicted gene, 18806"
"Gm18807",500731765,"13",100417752,"predicted gene, 18807"
"Gm18808",500739388,"17",100417755,"predicted gene, 18808"
"Gm18809",500739328,"17",100417757,"predicted gene, 18809"
"Gm18811",500733837,"14",100417761,"predicted gene, 18811"
"Gm18812",500734885,"14",100417762,"predicted gene, 18812"
"Gm18813",500733614,"14",100417769,"predicted gene, 18813"
"Gm18814",500736442,"15",100417770,"predicted gene, 18814"
"Gm18815",500736462,"15",100417771,"predicted gene, 18815"
"Gm18816",500726406,"11",100417772,"predicted gene, 18816"
"Gm18817",500726456,"11",100417776,"predicted gene, 18817"
"Gm18818",500726974,"11",100417777,"predicted gene, 18818"
"Gm18820",500722181,"9",100417780,"predicted gene, 18820"
"Gm18821",500723111,"9",100417781,"predicted gene, 18821"
"Gm18822",500705902,"3",100417782,"predicted gene, 18822"
"Gm18823",500707219,"3",100417783,"predicted gene, 18823"
"Gm18824",500706053,"3",100417784,"predicted gene, 18824"
"Gm18825",500737852,"16",100417787,"predicted gene, 18825"
"Gm18826",500737905,"16",100417788,"predicted gene, 18826"
"Gm18827",500730230,"12",100417790,"predicted gene, 18827"
"Gm18828",500700037,"1",100417791,"predicted gene, 18828"
"Gm18829",500700364,"1",100417792,"predicted gene, 18829"
"Gm18830",500710910,"5",100417793,"predicted gene, 18830"
"Gm18831",500717225,"7",100417794,"predicted gene, 18831"
"Gm18832",500740165,"17",100417795,"predicted gene, 18832"
"Gm18833",500739427,"17",100417797,"predicted gene, 18833"
"Gm18834",500733650,"14",100417798,"predicted gene, 18834"
"Gm18835",500734414,"14",100417799,"predicted gene, 18835"
"Gm18836",500735084,"14",100417800,"predicted gene, 18836"
"Gm18837",500740932,"18",100417802,"predicted gene, 18837"
"Gm18838",500714155,"6",100417805,"predicted gene, 18838"
"Gm18839",500714169,"6",100417806,"predicted gene, 18839"
"Gm18840",500715263,"6",100417807,"predicted gene, 18840"
"Gm18841",500723415,"9",100417808,"predicted gene, 18841"
"Gm18842",500741745,"19",100417810,"predicted gene, 18842"
"Gm18843",500706298,"3",100417811,"predicted gene, 18843"
"Gm18844",500703339,"2",100417812,"predicted gene, 18844"
"Gm18845",500703289,"2",100417813,"predicted gene, 18845"
"Gm18846",500704415,"2",100417815,"predicted gene, 18846"
"Gm18847",500743978,"X",100417817,"predicted gene, 18847"
"Gm18848",500730325,"12",100417823,"predicted gene, 18848"
"Gm18849",500700192,"1",100417825,"predicted gene, 18849"
"Gm18850",500716148,"7",100417827,"predicted gene, 18850"
"Gm18851",500716157,"7",100417828,"predicted gene, 18851"
"Gm18853",500718635,"7",100417831,"predicted gene, 18853"
"Gm18854",500716169,"7",100417833,"predicted gene, 18854"
"Gm18855",500716402,"7",100417834,"predicted gene, 18855"
"Gm18856",500731125,"13",100417835,"predicted gene, 18856"
"Gm18857",500731017,"13",100417836,"predicted gene, 18857"
"Gm18858",500731132,"13",100417837,"predicted gene, 18858"
"Gm18859",500731157,"13",100417838,"predicted gene, 18859"
"Gm18860",500720643,"8",100417840,"predicted gene, 18860"
"Gm18861",500713418,"6",100417850,"predicted gene, 18861"
"Gm18862",500714671,"6",100417851,"predicted gene, 18862"
"Gm18863",500723238,"9",100417852,"predicted gene, 18863"
"Gm18864",500706020,"3",100417853,"predicted gene, 18864"
"Gm18865",500706289,"3",100417854,"predicted gene, 18865"
"Gm18866",500706291,"3",100417856,"predicted gene, 18866"
"Gm18867",500706431,"3",100417858,"predicted gene, 18867"
"Gm18868",500736972,"16",100417863,"predicted gene, 18868"
"Gm18869",500737056,"16",100417864,"predicted gene, 18869"
"Gm18870",500737801,"16",100417865,"predicted gene, 18870"
"Gm18871",500729713,"12",100417873,"predicted gene, 18871"
"Gm18872",500730029,"12",100417875,"predicted gene, 18872"
"Gm18873",500729692,"12",100417876,"predicted gene, 18873"
"Gm18874",500700950,"1",100417877,"predicted gene, 18874"
"Gm18875",500701177,"1",100417878,"predicted gene, 18875"
"Gm18876",500725424,"10",100417881,"predicted gene, 18876"
"Gm18877",500716478,"7",100417882,"predicted gene, 18877"
"Gm18878",500731100,"13",100417883,"predicted gene, 18878"
"Gm18879",500731106,"13",100417884,"predicted gene, 18879"
"Gm18880",500731110,"13",100417885,"predicted gene, 18880"
"Gm18881",500731480,"13",100417886,"predicted gene, 18881"
"Gm18882",500732363,"13",100417887,"predicted gene, 18882"
"Gm18883",500732940,"13",100417888,"predicted gene, 18883"
"Gm18884",500733610,"14",100417890,"predicted gene, 18884"
"Gm18885",500734912,"14",100417891,"predicted gene, 18885"
"Gm18886",500740558,"18",100417893,"predicted gene, 18886"
"Gm18887",500740967,"18",100417894,"predicted gene, 18887"
"Gm18888",500735230,"15",100417895,"predicted gene, 18888"
"Gm18889",500735479,"15",100417896,"predicted gene, 18889"
"Gm18890",500736658,"15",100417898,"predicted gene, 18890"
"Gm18891",500722125,"9",100417904,"predicted gene, 18891"
"Gm18892",500722408,"9",100417905,"predicted gene, 18892"
"Gm18893",500706192,"3",100417907,"predicted gene, 18893"
"Gm18894",500707300,"3",100417909,"predicted gene, 18894"
"Gm18895",500705853,"2",100417910,"predicted gene, 18895"
"Gm18896",500737309,"16",100417911,"predicted gene, 18896"
"Gm18897",500737833,"16",100417913,"predicted gene, 18897"
"Gm18898",500729605,"12",100417921,"predicted gene, 18898"
"Gm18899",500729941,"12",100417922,"predicted gene, 18899"
"Gm18900",500701825,"1",100417923,"predicted gene, 18900"
"Gm18901",500711455,"5",100417925,"predicted gene, 18901"
"Gm18902",500724127,"10",100417926,"predicted gene, 18902"
"Gm18903",500724423,"10",100417927,"predicted gene, 18903"
"Gm18904",500725857,"10",100417929,"predicted gene, 18904"
"Gm18906",500717643,"7",100417931,"predicted gene, 18906"
"Gm18907",500718780,"7",100417932,"predicted gene, 18907"
"Gm18908",500717715,"7",100417933,"predicted gene, 18908"
"Gm18909",500733565,"14",100417937,"predicted gene, 18909"
"Gm18910",500741379,"18",100417938,"predicted gene, 18910"
"Gm18911",500736038,"15",100417939,"predicted gene, 18911"
"Gm18912",500715498,"6",100417944,"predicted gene, 18912"
"Gm18913",500714181,"6",100417946,"predicted gene, 18913"
"Gm18914",500723511,"9",100417947,"predicted gene, 18914"
"Gm18915",500722581,"9",100417948,"predicted gene, 18915"
"Gm18916",500707658,"3",100417950,"predicted gene, 18916"
"Gm18917",500705638,"2",100417951,"predicted gene, 18917"
"Gm18918",500737844,"16",100417953,"predicted gene, 18918"
"Gm18919",500744088,"X",100417955,"predicted gene, 18919"
"Gm18920",500744005,"X",100417957,"predicted gene, 18920"
"Gm18921",500730980,"12",100417960,"predicted gene, 18921"
"Gm18922",500718014,"7",100417965,"predicted gene, 18922"
"Gm18923",500732888,"13",100417966,"predicted gene, 18923"
"Gm18924",500720656,"8",100417967,"predicted gene, 18924"
"Gm18925",500721322,"8",100417971,"predicted gene, 18925"
"Gm18926",500734917,"14",100417972,"predicted gene, 18926"
"Gm18927",500733281,"14",100417973,"predicted gene, 18927"
"Gm18928",500740444,"18",100417974,"predicted gene, 18928"
"Gm18929",500741028,"18",100417976,"predicted gene, 18929"
"Gm18930",500735826,"15",100417978,"predicted gene, 18930"
"Gm18931",500727186,"11",100417979,"predicted gene, 18931"
"Gm18932",500726473,"11",100417980,"predicted gene, 18932"
"Gm18933",500708123,"4",100417981,"predicted gene, 18933"
"Gm18934",500721845,"9",100417982,"predicted gene, 18934"
"Gm18935",500723926,"9",100417985,"predicted gene, 18935"
"Gm18936",500742371,"19",100417987,"predicted gene, 18936"
"Gm18937",500705993,"3",100417989,"predicted gene, 18937"
"Gm18938",500743131,"X",100417995,"predicted gene, 18938"
"Gm18939",500729504,"12",100417999,"predicted gene, 18939"
"Gm18940",500729753,"12",100418000,"predicted gene, 18940"
"Gm18941",500712531,"5",100418002,"predicted gene, 18941"
"Gm18942",500724240,"10",100418004,"predicted gene, 18942"
"Gm18943",500718285,"7",100418007,"predicted gene, 18943"
"Gm18944",500718705,"7",100418009,"predicted gene, 18944"
"Gm18945",500732998,"13",100418010,"predicted gene, 18945"
"Gm18947",500734349,"14",100418012,"predicted gene, 18947"
"Gm18948",500740308,"18",100418013,"predicted gene, 18948"
"Gm18949",500735455,"15",100418014,"predicted gene, 18949"
"Gm18950",500727747,"11",100418016,"predicted gene, 18950"
"Gm18951",500742105,"19",100418019,"predicted gene, 18951"
"Gm18952",500706649,"3",100418022,"predicted gene, 18952"
"Gm18953",500704005,"2",100418025,"predicted gene, 18953"
"Gm18954",500729521,"12",100418029,"predicted gene, 18954"
"Gm18955",500730967,"12",100418031,"predicted gene, 18955"
"Gm18956",500699670,"1",100418032,"predicted gene, 18956"
"Gm18957",500711045,"5",100418033,"predicted gene, 18957"
"Gm18958",500718083,"7",100418035,"predicted gene, 18958"
"Gm18959",500718314,"7",100418037,"predicted gene, 18959"
"Gm18960",500732629,"13",100418038,"predicted gene, 18960"
"Gm18961",500739888,"17",100418039,"predicted gene, 18961"
"Gm18962",500733859,"14",100418040,"predicted gene, 18962"
"Gm18963",500741265,"18",100418041,"predicted gene, 18963"
"Gm18964",500713727,"6",100418045,"predicted gene, 18964"
"Gm18965",500715109,"6",100418046,"predicted gene, 18965"
"Gm18966",500713433,"6",100418047,"predicted gene, 18966"
"Gm18967",500704382,"2",100418051,"predicted gene, 18967"
"Gm18968",500730226,"12",100418053,"predicted gene, 18968"
"Gm18969",500701015,"1",100418055,"predicted gene, 18969"
"Gm18970",500701325,"1",100418056,"predicted gene, 18970"
"Gm18971",500712167,"5",100418057,"predicted gene, 18971"
